Symbol,RebateRate,FeeRate,Available
BOTZ,-0.4033,0.4833,2700000
BOUT,-11.5049,11.5849,900
BOWFF,-0.6994,0.7794,8000
BOWX,-0.956,1.036,80000
BOWXU,-0.17,0.25,85000
BOX,-0.304,0.384,2100000
BOXL,-28.315,28.395,250000
BP,-0.17,0.25,7400000
BPFH,-0.4147,0.4947,6300000
BPIGF,-3.0078,3.0878,100000
BPIRY,-7.1392,7.2192,40000
BPMC,-0.17,0.25,1200000
BPMP,-1.7679,1.8479,1500000
BPOP,-0.4147,0.4947,7300000
BPOPM,-77.0033,77.0833,60000
BPOPN,-118.4099,118.4899,75000
BPOPO,-1.2281,1.3081,10000
BPRN,-0.1985,0.2785,150000
BPSR,-2.4311,2.5111,250000
BPT,-28.7557,28.8357,15000
BPTH,-102.9606,103.0406,45000
BPY,-3.4359,3.5159,3300000
BPYPN,-5.9576,6.0376,35000
BPYPO,-13.1344,13.2144,500000
BPYPP,-1.0683,1.1483,55000
BPYU,-43.2023,43.2823,100000
BPYUP,-7.6593,7.7393,150000
BQ,-3.7006,3.7806,3000
BR,-0.17,0.25,4700000
BRAV,-1.0549,1.1349,1400000
BRBR,-0.1706,0.2506,1000000
BRBS,-5.4524,5.5324,600
BRC,-0.1707,0.2507,2100000
BRDCY,-26.4507,26.5307,15000
BREZ,-1.6967,1.7767,20000
BRF,-7.1805,7.2605,15000
BRFH,-41.7708,41.8508,200000
BRFS,-0.2927,0.3727,1300000
BRG,-0.1791,0.2591,250000
BRG PRA,-55.0612,55.1412,75000
BRG PRC,-5.1613,5.2413,10000
BRG PRD,-4.4277,4.5077,15000
BRGC,-1.8127,1.8927,30000
BRGO,-1.5962,1.6762,1600000
BRID,-3.5541,3.6341,100000
BRK A,-0.3655,0.4455,1000
BRK B,-0.17,0.25,10000000
BRKK,-1.3952,1.4752,400
BRKL,-0.17,0.25,5800000
BRKR,-0.17,0.25,4400000
BRKS,-0.1863,0.2663,3000000
BRLI,-0.7047,0.7847,9000
BRLIU,-1.2266,1.3066,1000
BRLL,-2.0855,2.1655,2700000
BRLXF,-0.2151,0.2951,3000
BRMK,-0.175,0.255,950000
BRN,-94.7292,94.8092,95000
BRNE,-0.8384,0.9184,1300000
BRNW,-0.8384,0.9184,700000
BRO,-0.3065,0.3865,6000000
BROG,-42.5935,42.6735,10000
BRP,-0.17,0.25,1200000
BRQS,-14.8241,14.9041,350000
BRSE,-0.17,0.25,1000
BRSI,-0.17,0.25,40000
BRT,-0.5751,0.6551,400000
BRTI,-3.2169,3.2969,600000
BRTX,-10.2564,10.3364,10000000
BRVVF,-2.3119,2.3919,30000
BRX,-0.17,0.25,10000000
BRY,-0.17,0.25,1700000
BRZL,-0.9618,1.0418,1900000
BRZU,-4.2126,4.2926,100000
BRZV,-2.4903,2.5703,100000
BSA,-117.7243,117.8043,3000
BSAC,-0.319,0.399,1000000
BSBE,-4.8801,4.9601,700
BSBK,-0.4147,0.4947,45000
BSBR,-1.5851,1.6651,30000
BSCL,-1.4973,1.5773,800000
BSCM,-4.912,4.992,1900000
BSCN,-2.2341,2.3141,600000
BSCO,-2.8117,2.8917,900000
BSCP,-7.4087,7.4887,700000
BSCQ,-1.4083,1.4883,800000
BSCR,-7.3471,7.4271,750000
BSCS,-4.7448,4.8248,750000
BSCT,-3.034,3.114,450000
BSD,-55.8834,55.9634,8000
BSDE,-8.5337,8.6137,400
BSE,-9.1155,9.1955,200000
BSEM,-1.0549,1.1349,100
BSEP,-3.1636,3.2436,7000
BSET,-0.6583,0.7383,900000
BSFO,-0.22,0.3,600
BSGM,-10.8637,10.9437,250000
BSHI,-0.8384,0.9184,2000
BSIG,-0.1781,0.2581,3200000
BSJL,-2.5006,2.5806,65000
BSJM,-2.0072,2.0872,70000
BSJN,-4.8286,4.9086,45000
BSJO,-3.6623,3.7423,10000
BSJP,-7.2159,7.2959,6000
BSJQ,-27.9305,28.0105,400
BSL,-10.329,10.409,35000
BSM,-1.4464,1.5264,2400000
BSML,-5.0151,5.0951,400
BSMX,-1.7009,1.7809,3500000
BSN,-4.6193,4.6993,45000
BSPK,-0.8254,0.9054,100000
BSPM,-0.8384,0.9184,10000
BSQR,-1.2266,1.3066,250000
BSRC,-32.3413,32.4213,2400000
BSRR,-0.4689,0.5489,1200000
BSSP,-1.1697,1.2497,10000000
BST,-18.6871,18.7671,40000
BSTG,-2.4622,2.5422,20000
BSTK,-0.17,0.25,100000
BSTO,-0.17,0.25,300
BSTZ,-6.964,7.044,150000
BSV,-0.3206,0.4006,750000
BSVN,-0.4824,0.5624,50000
BSX,-0.17,0.25,10000000
BSX PRA,-0.3177,0.3977,900000
BSY,-0.2637,0.3437,400000
BTA,-125.9537,126.0337,10000
BTAI,-0.17,0.25,100000
BTAL,-5.5602,5.6402,65000
BTAQ,-1.251,1.331,400000
BTAQU,-0.17,0.25,900
BTBT,-43.1255,43.2055,350000
BTCWF,-8.048,8.128,700
BTCY,-2.787,2.867,6000
BTDG,-0.8384,0.9184,1400000
BTDPY,-1.8922,1.9722,25000
BTEC,-29.4129,29.4929,3000
BTEGF,-1.6107,1.6907,1600000
BTG,-0.3065,0.3865,3100000
BTHE,-2.8649,2.9449,500000
BTHR,-12.6758,12.7558,200000
BTI,-0.1714,0.2514,1300000
BTIM,-6.6841,6.7641,1000
BTKRF,-42.3424,42.4224,50000
BTLCY,-2.7151,2.7951,25000
BTN,-0.6854,0.7654,600000
BTO,-9.8725,9.9525,70000
BTT,-75.5821,75.6621,40000
BTTR,-26.6566,26.7366,6000
BTU,-0.3232,0.4032,3000000
BTVCY,-2.32,2.4,100
BTVN,-0.22,0.3,100
BTWN,-14.5454,14.6254,1700000
BTWNU,-0.17,0.25,60000
BTZ,-10.4661,10.5461,150000
BTZI,-0.17,0.25,300000
BUD,-0.4185,0.4985,1000000
BUDZ,-1.1632,1.2432,100000
BUFF,-6.9099,6.9899,1000
BUG,-14.0664,14.1464,75000
BUKS,-19.4146,19.4946,7000000
BUNM,-0.17,0.25,3700000
BUR,-0.2257,0.3057,1500000
BURBY,-3.5985,3.6785,5000
BURCA,-0.8428,0.9228,6000
BURL,-0.17,0.25,1500000
BUROF,-52.7996,52.8796,60000
BUSE,-0.17,0.25,3300000
BUSXF,-34.108,34.188,4000
BUYZ,-15.4915,15.5715,5000
BV,-0.17,0.25,2400000
BVFL,-0.17,0.25,700
BVH,-0.3191,0.3991,900000
BVN,-0.17,0.25,1200000
BVXV,-17.2412,17.3212,50000
BW,-1.3957,1.4757,850000
BWA,-0.17,0.25,10000000
BWAC,-0.4356,0.5156,1000
BWAY,-1.6091,1.6891,2000
BWB,-0.3687,0.4487,300000
BWEL,-1.6326,1.7126,2000
BWEN,-0.3065,0.3865,150000
BWFG,-0.2222,0.3022,200000
BWG,-19.463,19.543,150000
BWL A,-1.0759,1.1559,100000
BWMX,-91.9454,92.0254,500000
BWPC,-0.17,0.25,200
BWX,-4.3698,4.4498,200000
BWXT,-0.17,0.25,4200000
BWZ,-3.943,4.023,100000
BX,-0.17,0.25,8600000
BXBLY,-5.7525,5.8325,10000
BXC,-0.5201,0.6001,400000
BXG,-0.5002,0.5802,400000
BXLC,-0.7865,0.8665,2000
BXMT,-0.17,0.25,600000
BXMX,-5.7701,5.8501,100000
BXP,-0.17,0.25,5700000
BXP PRB,-16.2889,16.3689,8000
BXRX,-36.9339,37.0139,500000
BXS,-0.17,0.25,5400000
BXS PRA,-11.2941,11.3741,5000
BY,-0.956,1.036,700000
BYD,-0.17,0.25,2200000
BYDDY,-20.3634,20.4434,150000
BYDGF,-0.2224,0.3024,100
BYFC,-25.1775,25.2575,1100000
BYLD,-34.2508,34.3308,5000
BYM,-26.9298,27.0098,6000
BYND,-0.448,0.528,200000
BYOC,-1.728,1.808,10000000
BYRG,-0.17,0.25,200000
BYRN,-3.3153,3.3953,600000
BYSI,-1.3022,1.3822,850000
BZH,-0.1847,0.2647,1500000
BZIC,-0.17,0.25,100000
BZLFY,-11.3679,11.4479,600
BZQ,-5.3448,5.4248,40000
BZQIY,-2.3092,2.3892,2000
BZRD,-1.5702,1.6502,2600000
BZTG,-1.488,1.568,2200000
BZUN,-0.4147,0.4947,1200000
BZWR,-0.17,0.25,500000
C,-0.17,0.25,10000000
C PRJ,-9.4974,9.5774,200000
C PRK,-3.9262,4.0062,100000
C PRN,-1.7354,1.8154,2100000
C PRS,-28.0029,28.0829,100000
CAAS,-51.723,51.803,200000
CABA,-0.9255,1.0055,15000
CABGY,-6.214,6.294,35000
CABO,-0.17,0.25,150000
CAC,-0.4689,0.5489,750000
CACC,-1.2266,1.3066,4000
CACG,-10.834,10.914,700
CACH,-3.7446,3.8246,900000
CACI,-0.17,0.25,1600000
CADE,-1.3619,1.4419,10000000
CADMF,-31.8028,31.8828,2000
CADNF,-0.1805,0.2605,350000
CAE,-0.3311,0.4111,500000
CAF,-0.6886,0.7686,950000
CAFI,-0.8319,0.9119,5000
CAG,-0.17,0.25,10000000
CAGDF,-0.5137,0.5937,250000
CAH,-0.17,0.25,10000000
CAI,-0.3065,0.3865,1900000
CAI PRA,-23.0906,23.1706,75000
CAI PRB,-18.6992,18.7792,10000
CAIXY,-22.7139,22.7939,90000
CAJ,-2.5447,2.6247,30000
CAKE,-0.3663,0.4463,500000
CAL,-0.17,0.25,2400000
CALA,-0.3065,0.3865,1200000
CALB,-0.8384,0.9184,25000
CALF,-7.3404,7.4204,2000
CALI,-57.9957,58.0757,20000
CALM,-0.17,0.25,4100000
CALT,-8.0717,8.1517,700
CALX,-0.2198,0.2998,4300000
CAMP,-0.218,0.298,2100000
CAMT,-0.28,0.36,300000
CAN,-11.0771,11.1571,8900000
CANB,-1.5589,1.6389,5000
CANE,-6.3614,6.4414,25000
CANF,-43.8024,43.8824,400000
CANG,-30.5709,30.6509,300000
CANL,-0.9943,1.0743,40000
CANMQ,-0.17,0.25,550000
CANN,-5.385,5.465,450000
CANSF,-19.2413,19.3213,50000
CANX,-2.0855,2.1655,100
CAP U,-0.17,0.25,6000
CAPA,-11.7921,11.8721,30000
CAPAU,-0.6421,0.7221,15000
CAPC,-0.22,0.3,250000
CAPE,-4.2363,4.3163,4000
CAPL,-14.9917,15.0717,100000
CAPR,-24.6397,24.7197,700000
CAPS,-0.9683,1.0483,500
CAPTF,-9.2951,9.3751,25000
CAR,-0.2261,0.3061,2300000
CARA,-0.3065,0.3865,800000
CARD,-0.17,0.25,200
CARE,-0.3245,0.4045,500000
CARG,-0.1751,0.2551,2500000
CARR,-0.17,0.25,10000000
CARS,-0.17,0.25,4400000
CARV,-57.6638,57.7438,250000
CARZ,-16.6436,16.7236,15000
CAS U,-3.2995,3.3795,4000
CASA,-0.3872,0.4672,2800000
CASH,-0.177,0.257,2400000
CASI,-0.4672,0.5472,350000
CASS,-0.2361,0.3161,750000
CASY,-0.17,0.25,1900000
CAT,-0.17,0.25,10000000
CATB,-1.9001,1.9801,400000
CATC,-0.4147,0.4947,100000
CATH,-3.3917,3.4717,6000
CATM,-0.17,0.25,2500000
CATO,-0.17,0.25,1400000
CATV,-0.8384,0.9184,10000000
CATY,-0.17,0.25,4200000
CAWW,-1.0073,1.0873,200000
CB,-0.17,0.25,10000000
CBAH U,-0.8694,0.9494,8000
CBAN,-0.4272,0.5072,150000
CBASW,-0.17,0.25,150000
CBAT,-68.6323,68.7123,10000
CBAT.OLD,-59.6153,59.6953,2000
CBAY,-0.2165,0.2965,1600000
CBB,-0.2043,0.2843,2800000
CBB PRB,-98.2678,98.3478,900
CBBI,-3.3597,3.4397,90000
CBBT,-7.0136,7.0936,10000000
CBCA,-3.6611,3.7411,100
CBCDQ,-0.17,0.25,5000
CBCOQ,-0.17,0.25,100000
CBD,-0.7027,0.7827,300000
CBDC,-2.1401,2.2201,350000
CBDD,-0.17,0.25,3200000
CBDG,-2.9169,2.9969,2000
CBDL,-1.8127,1.8927,10000000
CBDS,-45.6679,45.7479,150000
CBDX,-3.0035,3.0835,60000
CBDY,-0.7995,0.8795,400000
CBFV,-0.4905,0.5705,30000
CBGI,-0.8384,0.9184,150000
CBGL,-1.0581,1.1381,20000
CBGPY,-2.8504,2.9304,4000
CBH,-21.1171,21.1971,20000
CBIO,-0.3924,0.4724,1700000
CBJCL,-13.1792,13.2592,95000
CBKC,-4.7355,4.8155,2800000
CBKLP,-2.3092,2.3892,4000
CBLAQ,-32.0151,32.0951,5900000
CBLDQ,-13.9225,14.0025,750000
CBLEQ,-11.1807,11.2607,150000
CBLI,-105.7573,105.8373,150000
CBLS,-1.5567,1.6367,10000
CBMB,-3.0078,3.0878,30000
CBMG,-0.3477,0.4277,250000
CBMJ,-1.8127,1.8927,100000
CBNK,-0.55,0.63,100000
CBNT,-1.4944,1.5744,500000
CBOBA,-0.17,0.25,5000
CBOE,-0.17,0.25,4500000
CBON,-16.6417,16.7217,65000
CBPO,-0.4147,0.4947,40000
CBRE,-0.17,0.25,10000000
CBRI,-5.667,5.747,150000
CBRL,-0.17,0.25,700000
CBSE,-2.4445,2.5245,3000
CBSH,-0.17,0.25,1300000
CBT,-0.17,0.25,3800000
CBTC,-0.5137,0.5937,2100000
CBTRP,-1.358,1.438,200000
CBTX,-0.2774,0.3574,300000
CBU,-0.17,0.25,2000000
CBWA,-1.5009,1.5809,4000
CBWTF,-17.4556,17.5356,550000
CBYI,-0.17,0.25,500000
CBZ,-0.17,0.25,6400000
CC,-0.17,0.25,3500000
CCAC,-0.8656,0.9456,950000
CCAP,-0.9898,1.0698,100000
CCB,-0.523,0.603,150000
CCBG,-1.0389,1.1189,650000
CCC,-0.4147,0.4947,6000000
CCCC,-1.7233,1.8033,40000
CCD,-17.6141,17.6941,250000
CCEL,-1.7477,1.8277,25000
CCEP,-0.1987,0.2787,3000000
CCF,-0.3485,0.4285,600000
CCGGY,-3.7976,3.8776,1000
CCHGY,-11.2236,11.3036,4000
CCHWF,-0.22,0.3,350000
CCI,-0.17,0.25,10000000
CCIHY,-2.3846,2.4646,4000000
CCIV,-1.1829,1.2629,800000
CCIV U,-0.17,0.25,15000
CCJ,-0.202,0.282,7100000
CCK,-0.3156,0.3956,3200000
CCL,-0.17,0.25,10000000
CCLAY,-60.4948,60.5748,15000
CCLP,-24.6964,24.7764,400000
CCM,-125.1166,125.1966,55000
CCMP,-0.3065,0.3865,400000
CCNB,-2.079,2.159,2000
CCNC,-65.9026,65.9826,35000
CCNE,-0.5002,0.5802,700000
CCNEP,-9.5415,9.6215,1000
CCO,-1.1644,1.2444,3600000
CCOB,-0.8384,0.9184,2000
CCOEY,-12.9552,13.0352,3000
CCOI,-0.17,0.25,1900000
CCOJY,-0.17,0.25,800
CCOM,-1.2444,1.3244,55000
CCON,-5.5318,5.6118,500
CCOR,-10.5332,10.6132,85000
CCORF,-0.2126,0.2926,250000
CCRC,-96.1441,96.2241,600000
CCRN,-0.4355,0.5155,3400000
CCS,-0.5141,0.5941,3900000
CCTC,-0.22,0.3,300000
CCTR,-0.17,0.25,3300000
CCTYQ,-1.9552,2.0352,15000
CCU,-1.0674,1.1474,40000
CCUR,-0.3162,0.3962,350000
CCV U,-0.17,0.25,1000
CCWOF,-13.5544,13.6344,200000
CCX,-4.4742,4.5542,550000
CCX U,-1.2317,1.3117,200
CCXI,-0.3065,0.3865,1900000
CCZ,-0.3065,0.3865,10000
CD,-1.2501,1.3301,650000
CDAK,-1.2266,1.3066,10000
CDAY,-0.17,0.25,3500000
CDC,-1.2808,1.3608,800
CDE,-0.17,0.25,10000000
CDEV,-0.2745,0.3545,3500000
CDEVY,-7.83,7.91,6000
CDIX,-0.2794,0.3594,3000
CDK,-0.17,0.25,5800000
CDL,-3.3917,3.4717,20000
CDLX,-0.1747,0.2547,100000
CDMO,-0.3065,0.3865,1000000
CDMOP,-24.8978,24.9778,25000
CDNA,-0.17,0.25,1600000
CDNAF,-0.3428,0.4228,60000
CDNS,-0.17,0.25,6700000
CDOR,-1.3737,1.4537,100000
CDR,-0.2905,0.3705,600000
CDR PRB,-28.0394,28.1194,25000
CDR PRC,-6.8016,6.8816,70000
CDTAF,-1.8127,1.8927,90000
CDTI,-59.1437,59.2237,100000
CDTX,-1.9944,2.0744,500000
CDUAF,-0.2685,0.3485,95000
CDVIQ,-68.0632,68.1432,1400000
CDW,-0.17,0.25,4600000
CDXC,-0.259,0.339,40000
CDXS,-0.17,0.25,1600000
CDZI,-3.9931,4.0731,15000
CE,-0.17,0.25,4200000
CEA,-21.1451,21.2251,95000
CECBF,-2.0805,2.1605,250000
CECE,-0.3065,0.3865,2500000
CEE,-2.0493,2.1293,25000
CEF,-1.6197,1.6997,2200000
CEFC,-1.8127,1.8927,4000
CEFD,-1.2275,1.3075,800
CEFS,-13.5375,13.6175,150000
CEI,-84.5814,84.6614,600000
CEIX,-2.3155,2.3955,1200000
CEL,-3.343,3.423,25000
CELC,-0.4147,0.4947,15000
CELH,-0.3261,0.4061,1000000
CELP,-11.5106,11.5906,95000
CELZ,-0.8514,0.9314,7100000
CEM,-3.7372,3.8172,200000
CEMB,-8.1277,8.2077,45000
CEMI,-4.8404,4.9204,200000
CEN,-26.6826,26.7626,100000
CENBF,-0.17,0.25,10000
CENT,-0.2224,0.3024,850000
CENTA,-0.2067,0.2867,3800000
CENX,-0.3065,0.3865,6500000
CEOS,-0.22,0.3,200000
CEPU,-0.6092,0.6892,300000
CEQP,-4.9392,5.0192,700000
CEQP PR,-0.5049,0.5849,2200000
CERC,-0.1884,0.2684,550000
CERE,-2.3432,2.4232,8000
CERN,-0.17,0.25,8900000
CERPQ,-1.0138,1.0938,15000
CERS,-0.3065,0.3865,2700000
CERT,-2.5798,2.6598,650000
CET,-3.0911,3.1711,65000
CETG,-2.4233,2.5033,150000
CETX,-72.9494,73.0294,200000
CETXP,-5.4404,5.5204,50000
CETY,-1.1632,1.2432,100000
CEV,-116.6718,116.7518,5000
CEVA,-0.1713,0.2513,1200000
CEVE,-0.9394,1.0194,100000
CEW,-9.5621,9.6421,4000
CEY,-0.4147,0.4947,15000
CF,-0.17,0.25,9500000
CFA,-1.126,1.206,150000
CFACU,-0.2839,0.3639,700
CFB,-0.216,0.296,450000
CFBI,-5.9433,6.0233,400000
CFBK,-1.2211,1.3011,15000
CFCC,-0.17,0.25,2000
CFCX,-8.9898,9.0698,20000
CFFI,-0.55,0.63,150000
CFFN,-0.4147,0.4947,7700000
CFG,-0.17,0.25,10000000
CFG PRD,-34.8332,34.9132,20000
CFG PRE,-5.3402,5.4202,10000
CFGX,-0.22,0.3,10000000
CFIC,-0.17,0.25,1000
CFII,-1.0739,1.1539,800000
CFIIU,-0.17,0.25,10000
CFIVU,-0.17,0.25,5000
CFMS,-1.826,1.906,1400000
CFNB,-0.944,1.024,200000
CFO,-3.0059,3.0859,8000
CFOK,-0.8384,0.9184,10000
CFPZF,-0.2116,0.2916,3000
CFR,-0.17,0.25,1000000
CFR PRB,-0.3395,0.4195,150000
CFRI,-0.8774,0.9574,1300000
CFRUY,-17.4852,17.5652,1100000
CFRX,-0.9191,0.9991,150000
CFST,-1.4031,1.4831,30000
CFTN,-1.5009,1.5809,20000
CFWFD,-2325.9967,2326.0767,100
CFX,-0.17,0.25,8200000
CFXA,-2.67,2.75,350000
CG,-0.17,0.25,1800000
CGA,-4.6117,4.6917,150000
CGAC,-0.8384,0.9184,3000
CGBD,-0.2359,0.3159,250000
CGC,-0.9557,1.0357,800000
CGEAF,-0.186,0.266,100000
CGEMY,-0.2524,0.3324,9000
CGEN,-1.6333,1.7133,550000
CGGYY,-62.714,62.794,20000
CGHC,-0.22,0.3,600
CGIPQ,-2.2313,2.3113,10000
CGIX,-32.7382,32.8182,150000
CGNH,-2.4622,2.5422,350000
CGNSF,-2.761,2.841,350000
CGNX,-0.1787,0.2587,5500000
CGO,-109.2084,109.2884,30000
CGOL,-2.9585,3.0385,15000
CGRA,-0.8384,0.9184,650000
CGRO,-12.5837,12.6637,700000
CGROU,-1.4982,1.5782,5000
CGRW,-0.8514,0.9314,25000
CGSYQ,-0.17,0.25,1700000
CGUD,-1.1762,1.2562,5200000
CGUSY,-8.263,8.343,600
CGW,-13.8842,13.9642,75000
CGXEF,-38.5103,38.5903,2100000
CHAD,-1.389,1.469,25000
CHAQ U,-7.3158,7.3958,5000
CHAU,-3.7024,3.7824,250000
CHBU,-0.17,0.25,65000
CHCI,-29.3918,29.4718,70000
CHCO,-0.17,0.25,550000
CHCR,-2.787,2.867,250000
CHCT,-0.17,0.25,1100000
